sitios,Raja radiata,Raja naevus,Raja undulata,Raja clavata,Raja microocellata,Raja brachyura,Raja montagui,Torpedo marmorata,Torpedo nobiliana,Squalus acanthias,Scyliorhinus canicula,Scyliorhinus stellaris,Mustelus mustelus,Mustelus asterias,Galeorhinus galeus,Anguilla anguilla,Conger conger,Gadus morhua,Melanogrammus aeglefinus,Merlangius merlangus,Trisopterus minutus,Trisopterus luscus,Pollachius pollachius,Molva molva,Ciliata mustela,Rhinonemus cimbrius,Gaidropsarus mediterraneus,Gaidropsarus vulgaris,Raniceps raninus,Merluccius merluccius,Coryphaenoides rupestris,Lophius piscatorius,Gasterosteus aculeatus,Syngnathus acus,Syngnathus rostellatus,Entelurus aequoreus,Hippocampus ramulosus,Hippocampus hippocampus,Capros aper,Spondyliosoma cantharus,Mullus surmuletus,Cepola rubescens,Dicentrarchus labrax,Labrus mixtus,Labrus bergylta,Centrolabrus exoletus,Ctenolabrus rupestris,Crenilabrus melops,Zoarces viviparus,Pholis gunnellus,Chirolophis ascanii,Lumpenus lumpretaeformis,Echiichthys vipera,Trachinus draco,Blennius ocellaris,Parablennius gattorugine,Diplecogaster bimaculata,Perciformes sp,Gobius paganellus,Gobius niger,Gobius gasteveni,Lesueurigobius friesii,Solea solea,Buglossidium luteum,Solea lascaris,Microchirus variegatus,Pleuronectes platessa,Platichthys flesus,Limanda limanda,Microstomus kitt,Glyptocephalus cynoglossus,Hippoglossoides platessoides,Hippoglossus hippoglossus,Scophthalmus rhombus,Scophthalmus maximus,Lepidorhombus whiffiagonis,Phrynorhombus regius,Phrynorhombus norvegicus,Zeugopterus punctatus,Arnoglossus laterna,Arnoglossus imperialis,Trigla lucerna,Aspitrigla cuculus,Eutrigla gurnardus,Trigloporus lastoviza,Myxocephalus scorpius,Taurulus bubalis,Agonus cataphractus,Cyclopterus lumpus,Liparis liparis,Zeus faber,Mola mola,Chelon labrosus,zona
S1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,20.25,2,8,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,17.3333,0,0,0,0,9.375,26.5,0,0,25,0,154.5,0,0,0,0,1,1,0,0,0,0,20.6667,0,12,0,1,0,0,0,4.66667,0,0,0,0,0,East Central North Sea
S2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,2,0,111.45,2,1,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,0,0,0,45.5,0,0,0,0,26.1,107.9,0,0,101.9,0,443.5,1,0,0,0,1,1.16667,0,0,0,0,67.4444,0,3,0,7.125,0,0,0,10.1429,0,0,0,0,0,East Central North Sea
S3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6667,0,0,0,0,40.4,0,0,0,0,87,229.2,0,0,515,7,415.2,0,0,0,0,2.5,2.7,0,0,0,0,45,0,8,0,7,0,0,0,0,0,0,0,0,0,East Central North Sea
S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,12.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,177.833,0,0,0,0,45.5833,292.8,0,0,806.833,0,393.833,0,0,0,0,2.75,5.08333,0,0,0,0,87.6667,0,13.5,0,67.5,0,1,0,171.333,0,0,0,0,0,East Central North Sea
S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5,0,0,0,0,76.4,0,0,0,0,22.9,122.6,0,0,95.75,0,299.4,1,0,0,0,0.75,0.8,0,0,0,0,39,0,1.66667,0,18.3333,0,0,0,3.25,0,0,0,0,0,East Central North Sea
S6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,40.6667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57143,0,0,0,0,39.2222,0,0,0,0,19.875,175.25,0,0,120.375,0,326.125,0.5,0,0,0,0.9,0.9,0,0,0,0,49.875,0,3,0,20.5,0,0,0,22.1667,0,0,0,0,0,East Central North Sea
S7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.25,0,15.3333,23,144.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,17.3333,0,0,0,0,224.667,0,0,0,0,63.8333,164.333,0,0,721.833,15.25,198.167,6.5,0,0,0,3.3,7.58333,0,0,0,0,64.5,0,13.6,0,33,0,1,0,180.2,0,0,0,0,0,East Central North Sea
S8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16667,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6667,0,0,0,0,29.5,0,0,0,0,15.125,43,0,0,530.75,6.33333,127.25,0,0,0,0,5.5,18.5,0,0,0,0,146,0,17.5,0,0,0,1,0,48.3333,0,0,0,0,0,East Central North Sea
S9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,39.5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,97.2,0,0,0,0,14,109.4,0,0,67.2,0,395.6,4.66667,0,0,0,0.875,1.5,0,0,0,0,36,0,5.5,0,15.8,0,1,0,24.2,0,0,0,0,0,East Central North Sea
S10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.2,0,8.25,18,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,52.1429,0,0,0,0,102,0,0,0,0,30.625,82.25,0,0,489.625,2.3,305.75,1.375,0,0,0,2.4,2.9375,0,0,0,0,68.75,0,23.75,0,20.8,0,2,0,121,0,0,0,0,0,East Central North Sea
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0,72.65,11,30,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,133.083,0,0,0,0,81.5833,352.545,0,0,867.25,8.66667,431.417,5,0,0,0,3.22222,6.625,0,0,0,0,126.083,0,19.8,0,19.6667,0,3.66667,0,104.583,0,0,0,0,0,East Central North Sea
S12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,59.5,0,289.667,0,141,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,123.5,0,0,0,0,298,206,0,0,695,24.2,632.5,1,0,0,0,0.833333,2.41667,0,0,0,0,81.8,0,8.6,0,1,0,5,0,382.833,0,0,0,0,0,East Central North Sea
S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66667,0,16.75,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,45,0,0,0,0,12.875,110,0,0,53.75,0,683.5,1.25,0,0,0,1,1,0,0,0,0,53.25,0,9.66667,0,35.5,0,0,0,12.25,0,0,0,0,0,East Central North Sea
