muestra,Momento,DBO
1,antes,27.59758273
2,antes,20.13043286
3,antes,17.35693163
4,antes,22.21652724
5,antes,21.26849973
6,antes,19.9929642
7,antes,20.06335012
8,antes,23.18718344
9,antes,27.12291307
10,antes,15.88010621
11,antes,18.84539415
12,antes,22.36651762
13,antes,20.17945673
14,antes,23.06884118
15,antes,18.74112497
16,antes,21.58300679
17,antes,22.0325939
18,antes,24.28414498
19,antes,19.46168723
20,antes,21.78529818
21,antes,20.55643332
22,antes,21.72219211
23,antes,26.27977997
24,antes,24.41815894
25,antes,19.20488627
26,despues,35.71624298
27,despues,40.9021068
28,despues,28.38050261
29,despues,37.82567272
30,despues,25.18039355
31,despues,31.02161869
32,despues,28.84391279
33,despues,38.09564636
34,despues,38.29735547
35,despues,27.2376595
36,despues,30.50639252
37,despues,26.26246035
38,despues,29.18630855
39,despues,27.37217314
40,despues,25.87653456
41,despues,35.66749553
42,despues,22.40804982
43,despues,35.50721497
44,despues,32.92085136
45,despues,24.2338223
46,despues,44.49924264
47,despues,27.33791055
48,despues,31.41773234
49,despues,38.5278365
50,despues,24.48363306
